<X> <Y> <dY> <dX>
4.882940000000000e-02 8.768690000000000e+09 1.898470000000000e+11 1.169760000000000e+11
4.949830000000000e-02 7.108460000000000e+09 1.548390000000000e+11 9.555260000000000e+10
5.016720000000000e-02 5.538910000000000e+09 1.215230000000000e+11 7.513060000000000e+10
5.083610000000000e-02 4.117850000000000e+09 9.114580000000000e+10 5.647580000000000e+10
5.150500000000000e-02 2.889430000000000e+09 6.467110000000000e+10 4.018430000000000e+10
5.217390000000000e-02 1.883150000000000e+09 4.276320000000000e+10 2.666860000000000e+10
5.284280000000000e-02 1.113970000000000e+09 2.578160000000000e+10 1.615570000000000e+10
5.351170000000000e-02 5.830220000000000e+08 1.379590000000000e+10 8.695320000000000e+09
5.418060000000000e-02 2.791200000000000e+08 6.614140000000000e+09 4.176840000000000e+09
5.484950000000000e-02 1.807600000000000e+08 3.822700000000000e+09 2.353470000000000e+09
5.551840000000000e-02 2.584510000000000e+08 4.833650000000000e+09 2.870850000000000e+09
5.618730000000000e-02 4.772400000000000e+08 8.936440000000000e+09 5.298430000000000e+09
5.685620000000000e-02 7.992440000000000e+08 1.535050000000000e+10 9.161510000000000e+09
5.752510000000000e-02 1.186070000000000e+09 2.327550000000000e+10 1.397200000000000e+10
5.819400000000000e-02 1.600970000000000e+09 3.193730000000000e+10 1.925640000000000e+10
5.886290000000000e-02 2.010650000000000e+09 4.062670000000000e+10 2.457970000000000e+10
5.953180000000000e-02 2.386700000000000e+09 4.873000000000000e+10 2.956410000000000e+10
6.020070000000000e-02 2.706540000000000e+09 5.575100000000000e+10 3.390300000000000e+10
6.086960000000000e-02 2.953960000000000e+09 6.132330000000000e+10 3.736830000000000e+10
6.153850000000000e-02 3.119190000000000e+09 6.521410000000000e+10 3.981350000000000e+10
6.220740000000000e-02 3.198640000000000e+09 6.732000000000000e+10 4.117080000000000e+10
6.287630000000000e-02 3.194280000000000e+09 6.765600000000000e+10 4.144500000000000e+10
6.354520000000000e-02 3.112820000000000e+09 6.633840000000000e+10 4.070370000000000e+10
6.421399999999999e-02 2.964640000000000e+09 6.356570000000000e+10 3.906450000000000e+10
6.488289999999999e-02 2.762740000000000e+09 5.959520000000000e+10 3.668240000000000e+10
6.555179999999999e-02 2.521600000000000e+09 5.472080000000000e+10 3.373520000000000e+10
6.622069999999999e-02 2.256120000000000e+09 4.925060000000000e+10 3.041020000000000e+10
6.688959999999999e-02 1.980690000000000e+09 4.348700000000000e+10 2.689240000000000e+10
6.755849999999999e-02 1.708390000000000e+09 3.770970000000000e+10 2.335330000000000e+10
6.822739999999999e-02 1.450360000000000e+09 3.216220000000000e+10 1.994310000000000e+10
6.889629999999999e-02 1.215440000000000e+09 2.704250000000000e+10 1.678480000000000e+10
6.956519999999999e-02 1.009900000000000e+09 2.249720000000000e+10 1.397040000000000e+10
7.023409999999999e-02 8.374660000000000e+08 1.862060000000000e+10 1.155990000000000e+10
7.090299999999999e-02 6.994170000000000e+08 1.545580000000000e+10 9.582330000000000e+09
7.157189999999999e-02 5.948660000000000e+08 1.299980000000000e+10 8.038380000000000e+09
7.224079999999999e-02 5.211300000000000e+08 1.121020000000000e+10 6.904420000000000e+09
7.290969999999999e-02 4.741550000000000e+08 1.001350000000000e+10 6.137530000000000e+09
7.357859999999999e-02 4.489780000000000e+08 9.314390000000000e+09 5.680990000000000e+09
7.424749999999999e-02 4.401750000000000e+08 9.004940000000000e+09 5.469840000000000e+09
7.491639999999999e-02 4.422830000000000e+08 8.973100000000000e+09 5.436150000000000e+09
7.558529999999999e-02 4.501610000000000e+08 9.110500000000000e+09 5.513770000000000e+09
7.625419999999999e-02 4.592750000000000e+08 9.318820000000000e+09 5.642180000000000e+09
7.692309999999999e-02 4.659120000000000e+08 9.514510000000000e+09 5.769530000000000e+09
